xid,xqmc,adress,usetype,built,county,zone,在售202311,在租202311,price202311,rate202311,在售202403,在租202403,price202403,rate202403,BaiduX,BaiduY,WGS84X,WGS84Y
2610938430,百隆东方城,汉施公路与巨龙大道交汇处(武湖政务中心前行3..,住宅,2016年建成,黄陂,武湖,18,0,8349,0.55%,0,0,7798,-3.28%,114.4309464,30.71103668,114.4188364,30.70761164
2610153132,洺悦府,解放大道与古田五路交汇处(武汉四中旁),住宅,2017年建成,硚口,汉西,40,0,22254,5.51%,31,2,21075,-0.09%,114.2266922,30.59617043,114.214792,30.59244686
2610159982,金地汉口峯汇,京汉大道、利济北路(轻轨1号线利济北路站A出..,住宅,暂无资料,硚口,汉正街,40,0,31355,2.79%,28,0,26657,-2.89%,114.2763596,30.58299255,114.2644656,30.57945618
2611108480,万达御湖世家,武汉市武昌区中北路171号(中北路与东沙大道..,住宅,2015年建成,武昌,中北路,75,1,38119,-0.79%,68,14,37329,-0.56%,114.3449478,30.56692886,114.3330103,30.56314641
2610009405,松涛苑,瑞安街224号,住宅,1999年建成,武昌,南湖花园,78,6,23447,0.26%,37,2,22806,1.52%,114.3295212,30.51729393,114.3175048,30.51381706
2611193540,新城璟悦城,四新南路与四新中路交汇处(方岛公园旁),住宅,2019年建成,汉阳,四新,97,15,15857,0.53%,65,7,14942,-2.70%,114.2116318,30.52336884,114.1996078,30.51990465
2611004718,万科汉阳国际,龙阳大道陶家岭(陶家岭站),住宅,2015年建成,汉阳,王家湾,97,5,16879,1.62%,82,10,16250,-0.74%,114.2048035,30.55095291,114.1927533,30.54758575
2610154726,金地悦海湾,吴家山新城三店中路与三店东路交汇处,住宅,2021年建成,东西湖,吴家山,23,0,11882,-1.03%,30,0,11137,-1.44%,114.1532745,30.64963722,114.1411198,30.64587954
2610159290,长投保利汉口印,解放大道与澳门路交汇处(七号线三阳路G出口),住宅,暂无资料,江岸,台北香港路,54,0,33131,-1.08%,37,0,30201,-5.73%,114.3042068,30.60518646,114.2921813,30.60194689
2611045650,武汉万锦江城,后湖街百步亭花园路123号(兴业路与百步亭花..,住宅,2013年建成,江岸,百步亭,56,0,23848,2.11%,38,0,23557,-0.73%,114.3220367,30.65472412,114.3099984,30.65132526
2610156494,华侨城欢乐天际,团结大道地铁4号线工业四路站B出口,住宅,暂无资料,洪山,工业四路,75,0,22343,1.15%,71,0,22716,3.06%,114.4124832,30.61343193,114.4003615,30.60995492
2610296422,保利心语,东湖新技术开发区马湖路2号,住宅,2015年建成,洪山,新南湖,79,4,18093,2.49%,95,23,17432,-0.03%,114.3305206,30.48495483,114.3185302,30.48147392
2610160104,光谷洺悦天玺,"神墩一路以南、神墩三路以北、高科园路以东,高..",住宅,暂无资料,东湖高新区,光谷东,84,0,23165,-4.68%,67,0,23242,-4.70%,114.5271301,30.48901367,114.5153705,30.48575103
2610159948,碧霞轩,碧霞路碧霞轩9号,住宅,暂无资料,汉南,汉南,0,0,4461,7.29%,0,0,4282,-0.40%,114.0878525,30.31889915,114.0756045,30.31540854
2610159726,百花街284号,百花街284号,住宅,暂无资料,汉南,汉南,0,0,4952,1.00%,0,0,5043,-2.00%,114.0891266,30.31444168,114.0768807,30.31092881
2610157204,碧桂园桂湖映月,马影河大道碧桂园桂湖映月,住宅,2011年建成,汉南,汉南,0,0,5060,-0.95%,0,0,5078,6.85%,114.09552,30.36181831,114.0832963,30.358183
2610154864,碧桂园峰悦,马影河大道,住宅,2017年建成,汉南,汉南,0,0,6329,-2.36%,0,0,5829,0.47%,114.0865402,30.35721207,114.07428,30.3537371
2611166974,碧桂园凰城,武监高速公路(103省道旁),住宅,2014年建成,汉南,汉南,0,0,8130,4.67%,0,0,9683,5.38%,114.0883484,30.35492706,114.0760978,30.35142275
2610154626,碧桂园凰城悦山湖,马影河大道汉南高速出口,住宅,2021年建成,汉南,汉南,0,0,6613,-2.43%,0,0,6308,-0.41%,114.0972214,30.35922623,114.0850091,30.35556087
2610476742,现代森林小镇,光谷大道120号(紧邻光谷金融港),住宅,2013年建成,东湖高新区,金融港,86,6,24217,-0.44%,255,1,23157,-0.56%,114.4235992,30.46086121,114.4115052,30.45752988
2611122904,万科嘉园光谷的光,光谷一路与荷叶山路交汇处(光谷八小对面),住宅,2016年建成,东湖高新区,光谷,86,1,20425,2.29%,80,3,19207,-1.40%,114.4515076,30.50397491,114.4394953,30.50040765
2610154306,开来百花苑,桂庄路33,住宅,2011年建成,汉南,汉南,0,0,4098,-0.31%,0,0,4098,0.01%,114.0873947,30.30987167,114.0751375,30.30638764
2610157694,伟鹏·硅谷小镇,光谷高新大道1000号未来三路地铁口,住宅,2023年建成,东湖高新区,光谷东,87,0,11926,0.30%,100,0,12627,1.92%,114.6128998,30.48724747,114.6014382,30.4836011
2611280898,盛世港湾,兴城大道东侧(汉南一中斜对面),住宅,2017年建成,汉南,汉南,0,0,5933,-2.77%,0,0,5732,-0.63%,114.087677,30.32697487,114.0754327,30.32348757
2610153400,泷悦华府,关山大道与高新大道交汇处(武汉市东湖开发区人..,住宅,2018年建成,东湖高新区,光谷,87,2,27200,1.94%,88,3,26726,-0.66%,114.4263229,30.50421333,114.4141929,30.50086688
2610159784,银莲路151号,银莲路151号,住宅,暂无资料,汉南,汉南,0,0,5222,-3.00%,0,0,5377,3.00%,114.0836945,30.31454277,114.0714273,30.31111818
2610154636,育才教师小区,银莲路144号,住宅,1998年建成,汉南,汉南,0,0,4143,1.89%,0,0,3775,-1.00%,114.0809555,30.3145504,114.0686798,30.31116471
2610153856,御河兰亭,汉南区朱家山北路,住宅,2014年建成,汉南,汉南,0,0,5484,-7.41%,0,0,5226,0.02%,114.0887375,30.32328987,114.076496,30.31978448
2610153348,月亮湾路小区,月亮湾路162号,住宅,2000年建成,汉南,汉南,0,0,3117,2.00%,0,0,3113,0.00%,114.0905609,30.32081032,114.0783261,30.31727297
2610922690,圆梦08庄园,兴业大道与邓南路交汇口(汉南一中对面),住宅,2012年建成,汉南,汉南,0,0,6062,5.30%,0,0,5388,0.35%,114.090065,30.33343887,114.0778325,30.32991015
2611085606,保利时代,关山大道332号(新竹路与关山大道交汇处),住宅,2015年建成,东湖高新区,光谷,87,7,27345,2.42%,166,24,26010,-0.94%,114.4143829,30.49701118,114.4022641,30.49359536
2610159126,光谷鼎正悦府,高新四路与光谷四路交汇处,住宅,暂无资料,东湖高新区,光谷东,94,0,17761,-2.20%,58,0,17065,-2.65%,114.5013657,30.46289635,114.4896468,30.45914441
2610156874,光谷南山府,神墩一路与高科园二路交汇处,住宅,2022年建成,东湖高新区,光谷东,98,6,23308,-0.10%,101,2,22376,-0.01%,114.5316925,30.49051476,114.5199303,30.48732785
2610309942,清江山水,东湖开发区光谷软件园三路10号,住宅,2016年建成,东湖高新区,关山,109,8,20606,1.27%,228,9,19883,0.68%,114.4081039,30.4803524,114.3960205,30.47686441
2610153152,绿地国际理想城,光谷四路省奥体中心东侧800m(高新四路与光..,住宅,2018年建成,东湖高新区,光谷东,110,1,19346,-0.06%,90,2,18478,-0.43%,114.4936371,30.4762001,114.4818993,30.47234433
2610153050,光谷188国际社区,高科园路与神墩二路交汇处(光谷六路站旁),住宅,2018年建成,东湖高新区,光谷东,120,10,22974,-0.60%,127,5,22528,-0.54%,114.5242233,30.48928261,114.5124653,30.48596523
2610153332,中建光谷之星,高新大道与光谷六路交汇处(东湖高新管委会东侧..,住宅,2019年建成,东湖高新区,光谷东,120,1,26603,0.84%,101,4,25594,-1.69%,114.5232773,30.49768448,114.5115115,30.49434411
2611081576,朗诗里程,高新大道光谷六路与神墩二路交汇处(中国十五冶..,住宅,2017年建成,东湖高新区,光谷东,124,19,18628,-0.13%,157,8,18004,-1.17%,114.5261993,30.48593712,114.5144436,30.48265911
2610155904,新城璞樾门第,光谷四路和流芳园横路交汇处,住宅,2021年建成,东湖高新区,光谷东,126,4,19569,0.11%,132,7,19290,0.34%,114.4951553,30.47235298,114.4834238,30.46851451
2610155754,中建星光城,"光谷三路以东,三星巷以北,何流路以南,孟新路..",住宅,暂无资料,东湖高新区,光谷东,143,7,19226,2.88%,119,20,18872,-0.40%,114.485672,30.5002861,114.4738863,30.4963712
2610156184,旭辉千山凌云,高新二路与光谷大道交汇处,住宅,2022年建成,东湖高新区,关山,154,9,25426,1.89%,215,21,24547,-1.54%,114.4241486,30.48398972,114.412036,30.48064959
2610155776,中粮光谷祥云,光谷三路与神墩三路交汇处(地铁11号线光谷生..,住宅,2021年建成,东湖高新区,光谷东,167,4,21269,-2.08%,145,3,21595,-0.48%,114.4885483,30.48853111,114.4767843,30.48463225
2611278184,中建大公馆,关山大道与南湖大道交汇处(光谷软件园对面),住宅,2018年建成,东湖高新区,光谷,285,18,26525,1.84%,290,42,26144,-0.47%,114.4160461,30.48652077,114.4039351,30.48312767
2610153378,泛悦城,关山大道与珞喻路交汇处(华中科技大学正对面),住宅,2021年建成,东湖高新区,光谷,300,8,31897,1.59%,246,19,31109,-0.55%,114.4211502,30.51203918,114.4090136,30.50867276
2610153776,琨瑜府,关山大道与光谷创业街交汇处,住宅,2020年建成,东湖高新区,光谷,307,7,29173,3.17%,232,8,27730,1.95%,114.4232712,30.50794029,114.4111364,30.50458519
2610159248,大华公园城市,青菱大道与杨林二路交会处,住宅,暂无资料,洪山,白沙洲,83,0,8087,-0.57%,57,0,9499,-4.49%,114.2282944,30.4354763,114.2164169,30.43177919
2610162242,香港置地·元庐,高新二路999号,住宅,暂无资料,东湖高新区,光谷东,56,0,29385,3.92%,30,3,32492,-3.18%,114.5274811,30.47717667,114.515734,30.47392671
2611086992,金地格林东郡,关山大道与纺织路路口西行100米(武汉职业技..,住宅,2016年建成,东湖高新区,光谷,57,0,24623,1.00%,90,4,23839,0.51%,114.4122543,30.49132729,114.4001462,30.48788971
2610152968,成园小区,光谷一路万科嘉园旁,住宅,2015年建成,东湖高新区,光谷,57,4,12250,-0.64%,53,3,11741,-1.06%,114.4488678,30.5040226,114.436837,30.50049538
2610154724,正荣紫阙台,南湖大道208号,住宅,2022年建成,东湖高新区,关山,58,0,25635,3.59%,115,0,24737,-0.87%,114.4063721,30.4852562,114.3942896,30.48173937
2610475062,中建康城,关山大道589-590号,住宅,2014年建成,东湖高新区,关山,60,12,19224,3.83%,52,11,18354,-1.88%,114.4141159,30.47669601,114.402019,30.4732881
2610940404,新世界恒大华府,创业街与光谷一路交汇处(创业街大秦村站),住宅,2014年建成,东湖高新区,光谷,60,0,23382,0.47%,39,0,22825,-0.97%,114.4490051,30.50745583,114.4369732,30.50392508
2610067581,保利花园,东湖新技术开发区关山一路74号,住宅,2004年建成,东湖高新区,光谷,65,7,19995,1.76%,59,6,19128,-0.84%,114.4213181,30.50448036,114.4091851,30.50111791
2611074252,光谷8号,光谷大道特1号,住宅,2015年建成,东湖高新区,光谷,66,6,21747,-0.63%,50,11,21887,-0.32%,114.4291534,30.50901031,114.4170256,30.50566093
2610156150,武汉城建·光谷龙山湖,光谷中心城·顶冠峰路华为研究基地旁,住宅,暂无资料,东湖高新区,光谷东,67,0,19712,1.34%,80,1,19835,0.80%,114.5411072,30.50748825,114.5293395,30.50440239
2610154176,绿地光谷中心城,神墩三路与光谷五路交汇处(政务服务中心南30..,住宅,暂无资料,东湖高新区,光谷东,68,2,22362,0.25%,55,2,22231,-0.90%,114.5129547,30.4883213,114.5012089,30.48477292
2610310270,万科魅力之城,东湖高新开发区光谷高新四路1号,住宅,2008年建成,东湖高新区,金融港,69,5,19597,1.32%,57,7,18616,-0.20%,114.4454803,30.45305443,114.4334665,30.44959818
2610156940,保利时代南区,新竹路18号,住宅,2015年建成,东湖高新区,光谷,71,3,30848,2.48%,131,8,30398,2.40%,114.4147034,30.49383736,114.402587,30.49042664
2610155658,龙湖光谷城,东湖高新区光谷四路与神墩三路交汇处,住宅,2021年建成,东湖高新区,光谷东,72,2,22119,-3.20%,62,6,21490,-2.78%,114.501503,30.48603249,114.4897641,30.48227171
2610078120,当代国际花园,光谷大道106号,住宅,2010年建成,东湖高新区,金融港,72,3,24360,1.57%,126,5,23156,-0.41%,114.4230042,30.46689606,114.4109069,30.46356038
2611080328,万科城花璟苑,关山大道与关南园路路口东行200米(光谷六小..,住宅,2001年建成,东湖高新区,关山,77,14,25296,1.05%,151,24,24867,0.74%,114.421196,30.47812462,114.4090891,30.47477524
2610158912,恺德光谷熙园,高新二路与大吕路交汇处,住宅,暂无资料,东湖高新区,光谷东,79,0,19660,-2.80%,80,0,17809,1.48%,114.4902954,30.47879982,114.4785471,30.47491604
2610159204,万和光谷,高新四路与光谷五路交汇处,住宅,暂无资料,东湖高新区,光谷东,80,0,17053,0.53%,43,0,14716,-16.70%,114.5045547,30.46375275,114.492836,30.46005351
2611137634,国创光谷上城,高新大道与教育中路交汇处(光谷九小旁),住宅,2017年建成,东湖高新区,关山,81,8,22360,3.53%,57,11,21457,-1.15%,114.454216,30.49199677,114.4422343,30.48839296
2610154786,光谷创新天地,光谷六路与神墩一路交汇处,住宅,暂无资料,东湖高新区,光谷东,82,0,23029,1.01%,120,0,22429,-0.35%,114.5211792,30.48392487,114.5094298,30.48054981
2611208402,大华南湖公园世家三期,文馨街108号,住宅,2013年建成,洪山,南湖花园,97,0,22333,-3.34%,57,7,22100,-0.89%,114.334137,30.50061989,114.3221418,30.49706049
2611263348,联想江城雅居,关山大道和南湖大道交汇处(光谷创意大厦与光谷..,住宅,2017年建成,东湖高新区,关山,52,0,26815,2.10%,84,7,25741,-1.60%,114.4184723,30.48619461,114.4063584,30.48282286
2610391102,恒大华府,东湖高新区珞喻东路22号,住宅,2009年建成,东湖高新区,光谷,54,4,27924,2.23%,28,3,28084,-0.25%,114.4490051,30.50745583,114.4369732,30.50392508
2610156790,中海光谷东麓,高新大道与左岭大道交汇处(未来三路地铁站以北..,住宅,暂无资料,东湖高新区,光谷东,56,5,13728,1.91%,76,6,13590,0.93%,114.6109085,30.49692154,114.59944,30.49326068
2610337706,保利华都,东湖新技术开发区卓刀泉路299号,住宅,2012年建成,洪山,卓刀泉,112,3,29218,2.88%,107,10,27823,-0.53%,114.3906174,30.51465225,114.3785855,30.51085493
2610539480,光谷坐标城,关山大道519号(关山大道和南湖大道交汇处),住宅,2005年建成,东湖高新区,关山,35,16,23420,1.14%,47,13,23014,-0.25%,114.420845,30.48189545,114.4087343,30.4785421
2611003574,光谷新世界,东湖新技术开发区关山大道349号,住宅,2014年建成,东湖高新区,关山,35,3,29742,3.32%,41,8,28848,2.16%,114.4224854,30.4987545,114.4103568,30.49540045
2611210296,当代国际花园四期,光谷大道106,住宅,2014年建成,东湖高新区,金融港,35,0,25032,1.20%,111,1,24388,0.25%,114.4205399,30.46799088,114.408442,30.46464249
2610085730,蓝域拿铁公寓,东湖新技术开发区关山一路1号,住宅,2005年建成,东湖高新区,关山,36,0,19956,-1.46%,8,0,19205,-2.99%,114.4130783,30.47871208,114.4009818,30.47529126
2611003682,金地华公馆,东湖新技术开发区喻家湖路12号(武汉天龙投资..,住宅,2013年建成,东湖高新区,光谷,36,1,27490,-0.64%,32,1,27101,0.10%,114.4325256,30.51452255,114.4204051,30.51116086
2611208330,优+国际青年互动特区,高新二路与大吕路交汇处(省奥体中心旁),住宅,2016年建成,东湖高新区,光谷东,38,1,20188,2.83%,36,0,19376,-1.26%,114.4940033,30.48068237,114.4822617,30.47682781
2700060440,锦绣龙城,光谷民族大道888号,住宅,2009年建成,东湖高新区,民族大道,38,10,15338,0.74%,58,11,14727,-0.09%,114.3929596,30.47258759,114.3809515,30.46884973
2610346944,光谷理想城,光谷大道关南园路与关南园一路附近,住宅,2012年建成,东湖高新区,关山,38,16,15665,0.65%,46,14,15224,-0.28%,114.4232407,30.47795677,114.4111341,30.47461686
2611223134,光谷悦城,光谷一路与高新二路交汇处(金龙凯旋建材家俱广..,住宅,2019年建成,东湖高新区,关山,38,6,20751,5.39%,45,10,19325,1.85%,114.4447327,30.48346329,114.4326949,30.48000467
2610153882,中建东湖锦城,湖口二路与教育西路交汇处,住宅,2013年建成,东湖高新区,关山,39,2,20935,3.35%,27,3,20678,0.05%,114.4502792,30.4870491,114.4382743,30.48350945
2610153704,联投驿园,高新大道与光谷六路交汇处(地铁11号线光谷六..,住宅,2018年建成,东湖高新区,光谷东,39,0,24319,-0.22%,58,1,23102,-1.83%,114.5218887,30.49002075,114.510132,30.48665673
2611130876,联投喻园,喻家湖路16号(华科大东校区旁),住宅,2015年建成,东湖高新区,光谷,40,0,32288,1.26%,18,0,30758,-1.73%,114.4343567,30.51599503,114.4222422,30.51262319
2611174120,汇博苑,喻家湖路5号(光谷华中科技大学旁),住宅,2016年建成,东湖高新区,光谷,40,1,27630,5.33%,26,0,27594,-1.53%,114.4313049,30.517519,114.4191805,30.51416126
2610155734,武地建发玺院,花山生态新城花山大道与大长山路交汇处,住宅,暂无资料,东湖高新区,光谷东,41,0,18896,-3.89%,36,0,17735,-0.30%,114.5115585,30.54099846,114.4998069,30.53740469
2611030066,金地艺境,康魅路1号(高新四路谷尚居与魅力之城之间),住宅,2015年建成,东湖高新区,金融港,41,1,20327,1.59%,39,8,19612,0.35%,114.4421539,30.44947624,114.4301196,30.44606248
2610154046,光谷未来城,高新二路和光谷一路交汇处,住宅,2020年建成,东湖高新区,关山,41,1,20078,-1.94%,34,4,19486,-0.08%,114.4477005,30.48216438,114.4356832,30.47866562
2610662380,城市之光,光谷一路与南湖大道延长线交汇处,住宅,2014年建成,东湖高新区,关山,42,2,15150,0.20%,58,2,14369,-0.50%,114.4448547,30.48002052,114.4328214,30.47656215
2610156906,世茂十里星河,高新大道左岭大道交汇处(未来三路地铁站C出口..,住宅,暂无资料,东湖高新区,光谷东,43,0,12691,3.57%,30,0,11744,-2.01%,114.6130905,30.49456406,114.6016209,30.49091482
2611131822,蓝光COCO时代,荷叶山路与关东园五路交汇处(荷叶山社区对面),住宅,2016年建成,东湖高新区,光谷,43,3,18997,2.31%,34,2,18198,-0.06%,114.4572144,30.50594521,114.4452433,30.50228675
2611208396,大华南湖公园世家二期,文馨街108号,住宅,2013年建成,洪山,南湖花园,114,1,23055,0.24%,59,4,22248,-3.69%,114.3389816,30.49970436,114.3270024,30.49604936
2610895060,谷尚居,东湖高新开发区光谷高新四路8号,住宅,2009年建成,东湖高新区,金融港,25,3,15711,1.64%,35,4,14997,-0.96%,114.4401627,30.45445633,114.4281182,30.45106361
2610156058,光谷学府,高新二路与高科园路交叉口东北100米(光谷外..,住宅,2021年建成,东湖高新区,光谷东,25,2,20532,0.42%,47,0,19740,0.61%,114.5273666,30.48262978,114.5156139,30.47937489
2610815430,世界城米兰映象,东湖新技术开发区珞雄路19号,住宅,2011年建成,东湖高新区,光谷,27,4,21936,4.84%,23,4,20958,1.42%,114.4144135,30.50909042,114.4022859,30.50566938
2610162126,恺德·瑜园,高新大道与海纳路交汇处,住宅,暂无资料,东湖高新区,关山,27,0,18815,-1.10%,77,0,15148,-15.49%,114.4367294,30.49595642,114.4246359,30.49257651
2611200410,国采光立方,高新大道与光谷六路交汇处(东湖高新管委会东侧..,住宅,2017年建成,东湖高新区,光谷东,27,4,25624,2.12%,26,2,24658,-2.34%,114.5172348,30.49912071,114.5054738,30.49565588
2610156430,交投华园,花山生态新城花城大道与庆珪路交汇处,住宅,2022年建成,东湖高新区,光谷东,28,0,14856,1.84%,49,0,14255,-1.96%,114.5312424,30.54337883,114.5194775,30.54016923
2610155718,烽云慧城,东湖高新光谷三路,住宅,2017年建成,东湖高新区,光谷东,29,1,15592,2.75%,20,3,15344,2.94%,114.4899445,30.47386932,114.4781999,30.46998582
2610162152,融创光谷壹号院,光谷一路9号,住宅,暂无资料,东湖高新区,光谷,30,0,27318,1.26%,20,0,28813,8.05%,114.4547729,30.4998188,114.4427879,30.49620207
2610070027,巴黎豪庭,东湖新技术开发区珞瑜东路2号,住宅,2006年建成,东湖高新区,光谷,30,1,22067,3.18%,36,1,21301,-0.07%,114.4341583,30.51025772,114.4220445,30.50688904
2611123752,平安光谷春天,高新六路15号(武汉大学人民医院旁),住宅,2015年建成,东湖高新区,金融港,31,5,18626,1.67%,44,10,18024,-0.78%,114.4437103,30.44930458,114.431685,30.445872
2610159328,华润联投半岛九里,花山大道与春和路交汇处,住宅,暂无资料,东湖高新区,光谷东,31,0,15325,-8.10%,57,0,15842,1.04%,114.5076752,30.55044556,114.4959349,30.54677434
2610155886,碧桂园云玺,光谷中心城·光谷六路(光谷外校北侧约300米..,住宅,2021年建成,东湖高新区,光谷东,31,2,21285,-0.59%,32,1,20899,0.91%,114.5214996,30.48861313,114.5097448,30.48524201
2611244234,碧桂园生态城左岸,花山生态新城严西湖大桥东侧桥头(花城大道与花..,住宅,2016年建成,东湖高新区,光谷东,33,2,14143,0.97%,19,0,12908,-2.58%,114.5224075,30.54889488,114.5106522,30.54552496
2610154032,东湖金茂府,黄鹤路与明德路交汇处(杨春湖地铁站旁),住宅,暂无资料,洪山,工业四路,114,3,23100,0.46%,108,2,22939,-0.87%,114.423996,30.60998344,114.4118659,30.60659887
2610061763,光谷未来阳光海岸,东湖经济开发区光谷创业街特1号(庙山管委会旁..,住宅,2004年建成,东湖高新区,民族大道,19,1,10288,0.01%,5,1,10097,0.51%,114.38694,30.4440937,114.3749669,30.44026703
2611218328,亿达云山湖,花城大道9号(软件新城公交站旁),住宅,2017年建成,东湖高新区,光谷东,20,17,15046,0.46%,7,1,13752,-4.84%,114.5154114,30.56430817,114.5036749,30.56079179
2610154656,当代云谷,高新四路与佛祖岭二路交汇处,住宅,2021年建成,东湖高新区,光谷东,20,0,14186,4.18%,27,1,13739,0.56%,114.4770203,30.46310616,114.4652272,30.45922704
2610153122,祥和雅居,文园路与光谷创业街交汇西南角,住宅,2010年建成,东湖高新区,光谷,21,8,11539,-0.27%,6,9,10666,-1.18%,114.4436493,30.50413322,114.4315848,30.50067772
2610154410,联投光谷瑞园,花山大道与大长山路交汇处,住宅,2021年建成,东湖高新区,光谷东,21,0,14020,1.14%,20,0,13040,-0.49%,114.5158463,30.53922272,114.5040889,30.53571792
2610628132,光谷陆景苑,光谷大道21号,住宅,2004年建成,东湖高新区,关山,21,0,13810,-4.06%,24,0,13754,-0.41%,114.4303513,30.49919319,114.4182329,30.4958457
2610067046,现代森林花园,洪山区珞喻东路14号,住宅,2006年建成,东湖高新区,光谷,22,0,17523,0.47%,21,0,17230,0.66%,114.4450912,30.50977325,114.4330324,30.50629679
2610160660,花山印象,花山大道与花城大道交汇处,住宅,2024年建成,东湖高新区,光谷东,22,0,14202,-2.72%,29,0,12531,-1.44%,114.5206757,30.55533981,114.5089277,30.55193427
2610158938,城投光谷香恋,东湖高新新技术开发区橡树路1号(枫叶国际学校..,住宅,暂无资料,东湖高新区,民族大道,22,0,18451,-3.67%,18,0,17329,-7.53%,114.3881607,30.45521164,114.3761845,30.45140176
2610155974,碧桂园光谷十里春风,光谷四路与大吕路交汇处,住宅,2020年建成,东湖高新区,光谷东,22,0,19176,3.55%,38,2,18568,0.50%,114.4954987,30.46769333,114.4837713,30.46386067
2611130700,旭辉御府,高新四路以南、光谷一路以东(联想产业基地对面..,住宅,2018年建成,东湖高新区,金融港,23,4,16576,0.37%,26,8,15492,-0.92%,114.4537354,30.4579525,114.4417783,30.45437208
2610155140,碧桂园云境,武汉·光谷·高新二路(省奥体中心东行约800..,住宅,2020年建成,东湖高新区,光谷东,23,0,20529,-1.15%,36,0,19561,-0.24%,114.4885178,30.48149109,114.4767613,30.47759591
2610798034,喻园小区,关山口特1号,住宅,2002年建成,东湖高新区,光谷,24,1,31606,1.94%,21,0,30781,-0.53%,114.4308777,30.5225563,114.4187527,30.5191987
2610154402,亿德光谷先锋,SBI创业街关山派出所旁,住宅,2018年建成,东湖高新区,光谷,24,3,12455,5.55%,18,5,12474,0.17%,114.4258957,30.50627327,114.4137638,30.50292543
2610159116,武汉城建悦享湖璟,沌口路99号,住宅,暂无资料,沌口,体育中心,44,0,10405,1.80%,55,0,9220,-7.00%,114.1846008,30.47154427,114.1724717,30.46831124
2610062223,泰合百花公园,开发区江大路5号(新江大2号门对面),住宅,2002年建成,沌口,体育中心,19,4,11676,2.82%,17,0,11040,4.53%,114.1676559,30.51110077,114.1554829,30.50766443
2610300582,湘隆时代大公馆,车城北路69号,住宅,2010年建成,沌口,体育中心,20,9,15385,3.74%,14,0,14707,-3.44%,114.172699,30.50280952,114.1605268,30.49945401
2610541822,深港国际,柴泊湖畔新洲3中旁,住宅,2009年建成,新洲,阳逻,5,0,5252,-0.18%,5,0,4790,2.59%,114.5796127,30.6818924,114.5680586,30.67843496
2611052002,武汉SOHO,湖北省武汉市阳逻经济开发区金发大道,住宅,2012年建成,新洲,阳逻,5,0,3390,1.83%,5,0,3355,-1.00%,114.5781479,30.73264694,114.5665594,30.72918397
2610154618,红星天铂,柴泊大道与外环东路交汇处(新洲一中往东300..,住宅,2019年建成,新洲,阳逻,5,0,5765,-1.00%,6,0,5462,0.00%,114.6019211,30.68993759,114.5904652,30.68621277
2610565142,住开盛世长江,开发区阳光大道汽渡路8号,住宅,2014年建成,新洲,阳逻,6,0,4290,-2.28%,5,0,4028,3.28%,114.5727615,30.65472412,114.5611402,30.65138615
2610156102,御江壹品青山樽,建设三路与临江大道交汇处,住宅,2021年建成,青山,建二,90,0,22907,5.34%,87,0,22765,-0.73%,114.3829117,30.64032936,114.3709056,30.63637311
2610158476,华侨城红坊,华侨城创意设计中心,住宅,2025年建成,青山,红钢城,114,0,22513,2.44%,87,0,22068,-2.77%,114.4049301,30.64945221,114.3928233,30.64585007
